[124C8:11A4C][2026-08-27T17:03:10]i001: Burn v3.14.100.18719, Windows v10.0 (Build 26200: Service Pack 0), path: C:\WINDOWS\Temp\{B6E8FC9D-DEAA-4179-8741-4FDA85AE90C2}\.cr\winsdksetup.exe
[124C8:11A4C][2026-08-27T17:03:10]i009: Command Line: '-burn.clean.room=F:\AI\Antigravity\projects\ToDoList\winsdksetup.exe -burn.filehandle.attached=772 -burn.filehandle.self=604 /features + /q /norestart /log F:\AI\Antigravity\projects\ToDoList\winsdk_log2.txt'
[124C8:11A4C][2026-08-27T17:03:10]i000: Setting string variable 'WixBundleOriginalSource' to value 'F:\AI\Antigravity\projects\ToDoList\winsdksetup.exe'
[124C8:11A4C][2026-08-27T17:03:11]i103: Detected related package: {C1923306-4596-68DA-D556-AFBF337A3C06}, scope: PerMachine, version: 10.1.26100.8249, language: 0 operation: Downgrade
[124C8:11A4C][2026-08-27T17:03:11]i103: Detected related package: {C1923306-4596-68DA-D556-AFBF337A3C06}, scope: PerMachine, version: 10.1.26100.8249, language: 0 operation: MajorUpgrade
[124C8:11A4C][2026-08-27T17:03:11]i108: Detected compatible package: package_WindowsAppCertificationKitx64OnecoreUAP_x86_en_us, provider: {FE794902-3401-49B4-83DF-D9584F4BE586}, installed: {4DCDAE93-3FB2-A113-4E23-803EC3A0D16D}, version: 10.1.26100.8249, chained: {B817BAD1-CC9F-940C-FFD8-7543D89B8EB7}
[124C8:11A4C][2026-08-27T17:03:11]i103: Detected related package: {4DCDAE93-3FB2-A113-4E23-803EC3A0D16D}, scope: PerMachine, version: 10.1.26100.8249, language: 0 operation: Downgrade
[124C8:11A4C][2026-08-27T17:03:11]i103: Detected related package: {4DCDAE93-3FB2-A113-4E23-803EC3A0D16D}, scope: PerMachine, version: 10.1.26100.8249, language: 0 operation: MajorUpgrade
[124C8:11A4C][2026-08-27T17:03:11]i108: Detected compatible package: package_WindowsAppCertificationKitNativeComponents_x64_en_us, provider: {3FA063D7-EDC1-AFA8-54AF-0563C7DEE070}, installed: {7EB88CFE-8E4D-3AF0-CDE7-36D9CDCB53E5}, version: 10.1.26100.8249, chained: {20C01991-CCD1-2C06-7A9A-B10A9B4AF807}
[124C8:11A4C][2026-08-27T17:03:11]i103: Detected related package: {7EB88CFE-8E4D-3AF0-CDE7-36D9CDCB53E5}, scope: PerMachine, version: 10.1.26100.8249, language: 0 operation: Downgrade
[124C8:11A4C][2026-08-27T17:03:11]i103: Detected related package: {7EB88CFE-8E4D-3AF0-CDE7-36D9CDCB53E5}, scope: PerMachine, version: 10.1.26100.8249, language: 0 operation: MajorUpgrade
[124C8:11A4C][2026-08-27T17:03:11]i108: Detected compatible package: package_WindowsAppCertificationKitSupportedApiListx86_x86_en_us, provider: {79d24cbf-fc9a-4798-85d8-67c3ae54f1a7}, installed: {C6F5C1C9-773D-6494-8F22-B404E9F93B10}, version: 10.1.26100.8249, chained: {E43BDB72-464A-290B-A51D-537CBBE1CAC8}
[124C8:11A4C][2026-08-27T17:03:11]i103: Detected related package: {C6F5C1C9-773D-6494-8F22-B404E9F93B10}, scope: PerMachine, version: 10.1.26100.8249, language: 0 operation: Downgrade
